case,force_木,eng_木,delta_木,force_火,eng_火,delta_火,force_土,eng_土,delta_土,force_金,eng_金,delta_金,force_水,eng_水,delta_水
T16,37.5,50.0,12.5,0.0,41.67,41.67,37.5,8.33,-29.17,12.5,0.0,-12.5,12.5,0.0,-12.5
T17,37.5,33.33,-4.17,0.0,0.0,0.0,37.5,41.67,4.17,0.0,0.0,0.0,25.0,25.0,0.0
T18,37.5,41.67,4.17,0.0,0.0,0.0,37.5,33.33,-4.17,12.5,16.67,4.17,12.5,8.33,-4.17
T19,25.0,16.67,-8.33,25.0,33.33,8.33,12.5,16.67,4.17,12.5,16.67,4.17,25.0,16.67,-8.33
T20,25.0,25.0,0.0,25.0,25.0,0.0,12.5,16.67,4.17,37.5,33.33,-4.17,0.0,0.0,0.0
T21,25.0,25.0,0.0,12.5,8.33,-4.17,12.5,16.67,4.17,37.5,33.33,-4.17,12.5,16.67,4.17
T22,12.5,16.67,4.17,37.5,41.67,4.17,12.5,8.33,-4.17,25.0,16.67,-8.33,12.5,16.67,4.17
T23,25.0,25.0,0.0,12.5,16.67,4.17,25.0,16.67,-8.33,25.0,25.0,0.0,12.5,16.67,4.17
T24,37.5,41.67,4.17,0.0,0.0,0.0,0.0,0.0,0.0,37.5,33.33,-4.17,25.0,25.0,0.0
